id,semesterCode,studentNumber,courseCode,studentDepartment,addedOn,priority
696190,191,1420091,PHY107L,42,2019-01-03 20:49:26,1
637891,191,1420132,ENG103,42,2018-12-10 23:04:47,1
672265,191,1420146,BIO103,42,2018-12-22 05:21:26,1
598228,191,1420146,CSE173,42,2018-12-01 22:52:40,1
598251,191,1420146,MAT120,42,2018-12-01 22:54:57,1
598235,191,1420146,MAT125,42,2018-12-01 22:53:32,1
628569,191,1420374,CSE225,42,2018-12-08 11:28:48,1
628570,191,1420374,CSE225L,42,2018-12-08 11:28:48,1
628572,191,1420374,CSE231,42,2018-12-08 11:29:10,1
628573,191,1420374,CSE231L,42,2018-12-08 11:29:10,1
675594,191,1420374,EEE154,42,2018-12-24 10:22:53,1
628575,191,1420374,MAT250,42,2018-12-08 11:30:06,1
703435,191,1420374,PHI104,42,2019-01-08 23:08:57,1
694512,191,1420453,CSE323,42,2019-01-03 17:38:34,1
615385,191,1420547,CSE173,42,2018-12-05 17:31:01,1
615407,191,1420547,EEE141,42,2018-12-05 17:35:37,1
615408,191,1420547,EEE141L,42,2018-12-05 17:35:37,1
615364,191,1420547,MAT125,42,2018-12-05 17:22:15,1
615369,191,1420547,PHY108,42,2018-12-05 17:24:46,1
615400,191,1420547,PHY108L,42,2018-12-05 17:34:14,1
648927,191,1420604,CSE173,42,2018-12-15 10:50:30,1
648931,191,1420604,MAT125,42,2018-12-15 10:50:50,1
640104,191,1420639,CSE115,42,2018-12-12 02:18:15,1
640105,191,1420639,CSE115L,42,2018-12-12 02:18:15,1
640108,191,1420639,CSE173,42,2018-12-12 02:19:16,1
640106,191,1420639,MAT125,42,2018-12-12 02:18:53,1
640117,191,1420639,PHY107,42,2018-12-12 02:21:53,1
578449,191,1420831,CSE215,42,2018-11-27 13:55:05,1
578452,191,1420831,CSE215L,42,2018-11-27 13:55:15,1
578456,191,1420831,MAT125,42,2018-11-27 13:55:50,1
578458,191,1420831,MAT130,42,2018-11-27 13:56:12,1
619739,191,1421011,CSE215,42,2018-12-06 12:27:11,1
619743,191,1421011,CSE215L,42,2018-12-06 12:27:28,1
619712,191,1421011,MAT116,42,2018-12-06 12:26:01,1
619734,191,1421011,MAT120,42,2018-12-06 12:27:00,1
665682,191,1421204,CSE115,42,2018-12-19 20:11:22,1
665684,191,1421204,CSE173,42,2018-12-19 20:11:36,1
665688,191,1421204,CSE323,42,2018-12-19 20:11:54,1
665700,191,1421204,EEE141,42,2018-12-19 20:13:56,1
665711,191,1421204,MAT116,42,2018-12-19 20:15:25,1
656952,191,1421253,CHE101,42,2018-12-17 18:00:25,1
656712,191,1421253,CSE231,42,2018-12-17 17:36:47,1
656713,191,1421253,CSE231L,42,2018-12-17 17:36:47,1
656731,191,1421253,EEE452,42,2018-12-17 17:37:38,1
704795,191,1421281,CSE173,42,2019-01-10 00:51:37,1
677016,191,1421462,CSE225,42,2018-12-25 08:24:55,1
677017,191,1421462,CSE225L,42,2018-12-25 08:25:17,1
638815,191,1421607,CSE215,42,2018-12-11 12:51:21,1
638809,191,1421607,CSE311,42,2018-12-11 12:49:44,1
675373,191,1421607,EEE141,42,2018-12-24 01:07:46,1
638813,191,1421607,MAT130,42,2018-12-11 12:50:44,1
681121,191,1430003,CSE225,42,2018-12-27 14:44:28,1
681122,191,1430003,CSE225L,42,2018-12-27 14:44:28,1
681124,191,1430003,CSE231,42,2018-12-27 14:44:56,1
681125,191,1430003,CSE231L,42,2018-12-27 14:44:56,1
681119,191,1430003,EEE111,42,2018-12-27 14:43:13,1
681120,191,1430003,EEE111L,42,2018-12-27 14:43:13,1
681115,191,1430003,PHY108,42,2018-12-27 14:42:07,1
698299,191,1430234,CSE311,42,2019-01-04 14:27:34,4
698303,191,1430234,EEE141,42,2019-01-04 14:31:20,4
635563,191,1430234,HIS101,42,2018-12-10 03:33:59,1
635558,191,1430234,MAT250,42,2018-12-10 03:32:34,1
662938,191,1430293,CSE323,42,2018-12-18 22:21:21,1
662943,191,1430293,ECO101,42,2018-12-18 22:21:58,1
662951,191,1430293,EEE452,42,2018-12-18 22:22:45,1
652759,191,1430469,CSE231,42,2018-12-15 23:35:55,1
652760,191,1430469,CSE231L,42,2018-12-15 23:35:55,1
652735,191,1430469,MAT250,42,2018-12-15 23:34:10,1
652720,191,1430469,PHY108,42,2018-12-15 23:33:04,1
652725,191,1430469,PHY108L,42,2018-12-15 23:33:34,1
655720,191,1430900,CSE231,42,2018-12-17 03:49:57,1
655721,191,1430900,CSE231L,42,2018-12-17 03:49:57,1
655724,191,1430900,MAT130,42,2018-12-17 03:50:39,1
655722,191,1430900,PHY107,42,2018-12-17 03:50:14,1
655723,191,1430900,PHY107L,42,2018-12-17 03:50:27,1
671219,191,1510306,CSE225,42,2018-12-21 17:01:42,1
671220,191,1510306,CSE225L,42,2018-12-21 17:01:42,1
671223,191,1510306,CSE231,42,2018-12-21 17:06:44,1
671224,191,1510306,CSE231L,42,2018-12-21 17:06:44,1
671221,191,1510306,ECO101,42,2018-12-21 17:03:05,1
671222,191,1510306,ENG103,42,2018-12-21 17:04:29,1
701173,191,1510333,BIO103,42,2019-01-06 18:59:29,1
701172,191,1510333,ECO101,42,2019-01-06 18:58:45,1
701170,191,1510333,HIS101,42,2019-01-06 18:56:49,1
701171,191,1510333,HIS102,42,2019-01-06 18:58:08,1
578303,191,1510510,CSE215L,42,2018-11-27 13:26:45,1
